Show,Leg,Date,City,Country,Venue,Attendance,Revenue,Latitude,Longitude,Prev_Latitude,Prev_Longitude,Dist_kms,Dist_mls
2,North America 1,"January 19, 2016",Chicago,United States,United Center,"19,120 / 19,120","$2,756,475",41.880647,-87.674153,40.439593,-79.988935,663.512731103055,412.375842823527
3,North America 1,"January 27, 2016",New York City,United States,Madison Square Garden,"18,474 / 18,474","$2,508,528",40.750704,-73.993752,41.880647,-87.674153,1149.47516381484,714.403457933402
4,North America 1,"January 29, 2016","Washington, D.C.",United States,Verizon Center,"18,093 / 18,093","$2,383,850",38.898125,-77.020963,40.750704,-73.993752,330.890163474196,205.64957332144
5,North America 1,"January 31, 2016",Newark,United States,Prudential Center,"16,539 / 16,539","$2,227,836",40.733282,-74.171262,38.898125,-77.020963,317.939861437533,197.600908289331
6,North America 1,"February 2, 2016",Toronto,Canada,Air Canada Centre,"18,134 / 18,134","$1,793,936",43.643521,-79.379082,40.733282,-74.171262,537.838186303818,334.268605533759
7,North America 1,"February 4, 2016",Boston,United States,TD Garden,"17,039 / 17,039","$2,062,417",42.366487,-71.062106,43.643521,-79.379082,691.505215051576,429.773284680905
8,North America 1,"February 8, 2016",Albany,United States,Times Union Center,"15,162 / 15,162","$1,966,730",42.648525,-73.754733,42.366487,-71.062106,223.175735687043,138.704621309536
9,North America 1,"February 10, 2016",Hartford,United States,XL Center,"14,672 / 14,672","$2,080,294",41.768354,-72.676647,42.648525,-73.754733,132.293374807681,82.2208668786087
10,North America 1,"February 12, 2016",Philadelphia,United States,Wells Fargo Center,"19,411 / 19,411","$2,503,356",39.901096,-75.171874,41.768354,-72.676647,295.563264251484,183.693762741755
11,North America 1,"February 16, 2016",Sunrise,United States,BB&T Center,"18,658 / 18,658","$2,174,905",26.158469,-80.325551,39.901096,-75.171874,1602.85192886038,996.178948949896
12,North America 1,"February 18, 2016",Atlanta,United States,Philips Arena,"16,713 / 17,450","$1,888,030",33.757168,-84.396345,26.158469,-80.325551,932.306998208551,579.432565698292
13,North America 1,"February 21, 2016",Louisville,United States,KFC Yum! Center,"15,730 / 16,900","$1,847,730",38.25745,-85.753958,33.757168,-84.396345,515.651119232884,320.479253718387
14,North America 1,"February 23, 2016",Cleveland,United States,Quicken Loans Arena,"19,071 / 19,071","$2,520,055",41.496577,-81.688076,38.25745,-85.753958,500.54414784905,311.09020997455
15,North America 1,"February 25, 2016",Buffalo,United States,First Niagara Center,"18,351 / 18,351","$2,186,795",42.874947,-78.876246,41.496577,-81.688076,278.069294076321,172.821189606166
